#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-55874.48874149004,100.76716505398451,36.35179510868867
200,-54019.20861986471,167.9789813401826,36.35179510868867
300,-52753.47783629348,213.3815717983811,36.35179510868867
400,-51790.27486501176,240.81949450205408,36.35179510868867
500,-51410.2809764922,260.4684006589688,36.35179510868867
600,-50861.567994900644,274.1168542199984,36.35179510868867
700,-50570.89441004746,281.07601973065124,36.35179510868867
800,-50501.63204238413,280.63115044279556,36.35179510868867
900,-50207.137340012196,291.01398145050786,36.35179510868867
1000,-50130.99316311557,294.8140944964652,36.35179510868867
1100,-49849.54314497536,292.31499965141717,36.35179510868867
1200,-49794.17975192057,299.4541943483981,36.35179510868867
1300,-49933.89428063963,295.2334571631054,36.35179510868867
1400,-49881.65024679446,292.642840167289,36.35179510868867
1500,-50205.510888279,295.0281574633371,36.35179510868867
1600,-50200.31673300352,295.9464129778091,36.35179510868867
1700,-50208.617835048884,291.33667218037425,36.35179510868867
1800,-50326.20229564876,297.0119252056498,36.35179510868867
1900,-50158.140811361016,296.36592789001224,36.35179510868867
2000,-49892.65196795114,290.4733456784447,36.35179510868867
2100,-50170.911484309094,299.6430075322012,36.35179510868867
2200,-50322.09455259795,306.29332684576104,36.35179510868867
2300,-49891.94793484546,295.44342670350164,36.35179510868867
2400,-49971.10502944222,300.1169268857247,36.35179510868867
2500,-50031.88291445742,297.6541961538949,36.35179510868867
2600,-49667.39923884919,291.26492060045604,36.35179510868867
2700,-49571.63025347222,291.892019036436,36.35179510868867
2800,-49883.264746496825,301.7430097344125,36.35179510868867
2900,-49767.86909193398,295.25003753478813,36.35179510868867
3000,-49839.740530420626,304.59064407772695,36.35179510868867
3100,-49620.45143457321,306.6061709943731,36.35179510868867
3200,-49459.53342688672,292.4914682569028,36.35179510868867
3300,-49783.959959348394,295.5570787015235,36.35179510868867
3400,-49563.66754889863,295.0399705068193,36.35179510868867
3500,-49504.290063372915,299.6565959614899,36.35179510868867
3600,-49607.13695210614,308.9233918803711,36.35179510868867
3700,-49611.79884758908,298.8139310292807,36.35179510868867
3800,-49586.00455951822,293.60048278451427,36.35179510868867
3900,-49723.973263796695,298.02325461968957,36.35179510868867
4000,-49999.01709366783,306.04147752605013,36.35179510868867
4100,-49963.73362934429,300.9076875771665,36.35179510868867
4200,-49779.695088679866,296.86556649978615,36.35179510868867
4300,-50084.342632760265,307.45877736635566,36.35179510868867
4400,-49901.6848273789,305.23463409925887,36.35179510868867
4500,-49577.0083281158,292.3523741744362,36.35179510868867
4600,-49962.38597303416,297.76335474831944,36.35179510868867
4700,-49791.90836283713,304.57775690263264,36.35179510868867
